Query,Description,Severity,Message,Location,Start Line,Start Col,End Line,End Col
Inefficient regular expression,"A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.",error,"This part of the regular expression may cause exponential backtracking on strings starting with 'A,' and containing many repetitions of 'sw,'.",/JS_Pipeline/index.esm.js,839,66,839,68
Inefficient regular expression,"A regular expression that requires exponential time to match certain inputs can be a performance bottleneck, and may be vulnerable to denial-of-service attacks.",error,"This part of the regular expression may cause exponential backtracking on strings starting with 'A,' and containing many repetitions of 'sw,'.",/website/html/index.esm.js,839,66,839,68
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\(' is equivalent to just '(', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///JS_Pipeline/index.esm.js:839:36:839:90""]].",/JS_Pipeline/index.esm.js,839,51,839,52
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\)' is equivalent to just ')', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///JS_Pipeline/index.esm.js:839:36:839:90""]].",/JS_Pipeline/index.esm.js,839,82,839,83
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\s' is equivalent to just 's', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///JS_Pipeline/index.esm.js:839:36:839:90""]].",/JS_Pipeline/index.esm.js,839,66,839,67
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\s' is equivalent to just 's', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///JS_Pipeline/index.esm.js:839:36:839:90""]].",/JS_Pipeline/index.esm.js,839,85,839,86
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\w' is equivalent to just 'w', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///JS_Pipeline/index.esm.js:839:36:839:90""]].",/JS_Pipeline/index.esm.js,839,47,839,48
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\w' is equivalent to just 'w', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///JS_Pipeline/index.esm.js:839:36:839:90""]].",/JS_Pipeline/index.esm.js,839,61,839,62
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\w' is equivalent to just 'w', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///JS_Pipeline/index.esm.js:839:36:839:90""]].",/JS_Pipeline/index.esm.js,839,77,839,78
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\(' is equivalent to just '(', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///website/html/index.esm.js:839:36:839:90""]].",/website/html/index.esm.js,839,51,839,52
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\)' is equivalent to just ')', so the sequence may still represent a meta-character when it is used in a [[""regular expression""|""relative:///website/html/index.esm.js:839:36:839:90""]].",/website/html/index.esm.js,839,82,839,83
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\s' is equivalent to just 's', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///website/html/index.esm.js:839:36:839:90""]].",/website/html/index.esm.js,839,66,839,67
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\s' is equivalent to just 's', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///website/html/index.esm.js:839:36:839:90""]].",/website/html/index.esm.js,839,85,839,86
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\w' is equivalent to just 'w', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///website/html/index.esm.js:839:36:839:90""]].",/website/html/index.esm.js,839,47,839,48
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\w' is equivalent to just 'w', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///website/html/index.esm.js:839:36:839:90""]].",/website/html/index.esm.js,839,61,839,62
Useless regular-expression character escape,"Prepending a backslash to an ordinary character in a string does not have any effect, and may make regular expressions constructed from this string behave unexpectedly.",error,"The escape sequence '\w' is equivalent to just 'w', so the sequence is not a character class when it is used in a [[""regular expression""|""relative:///website/html/index.esm.js:839:36:839:90""]].",/website/html/index.esm.js,839,77,839,78
Code injection,Interpreting unsanitized user input as code allows a malicious user arbitrary code execution.,error,"This code execution depends on a [[""user-provided value""|""relative:///JS_Pipeline/index.esm.js:894:40:894:47""]].",/JS_Pipeline/index.esm.js,843,61,843,65
Code injection,Interpreting unsanitized user input as code allows a malicious user arbitrary code execution.,error,"This code execution depends on a [[""user-provided value""|""relative:///website/html/index.esm.js:894:40:894:47""]].",/website/html/index.esm.js,843,61,843,65
Incomplete string escaping or encoding,A string transformer that does not replace or escape all occurrences of a meta-character may be ineffective.,warning,This does not escape backslash characters in the input.,/website/html/Build/Build.framework.js,9,24164,9,24173
